,Coefficient,Std. Error,t-value,p-value,95% CI Lower,95% CI Upper
Intercept,17.88679500401532,0.7467325190529138,23.953416447834986,4.04964466124832e-124,16.423090050106506,19.350499957924132
"C(Sex, Treatment(reference=""Female""))[T.Male]",-2.6136675653641492,1.0545144384628156,-2.4785507623528975,0.01320431119810745,-4.680670097280157,-0.5466650334481411
Age,0.31810372318310737,0.046553268850736594,6.833112497492733,8.679011583119603e-12,0.22685250738779866,0.40935493897841607
"Age:C(Sex, Treatment(reference=""Female""))[T.Male]",0.20783847509901893,0.0656216575967181,3.167223790296535,0.0015425723825799925,0.07921042843266249,0.3364665217653754
